,date,team1,score1,team2,score2
642,2016-02-26,FlipSid3,16,Selfless,13
643,2016-02-26,KoN Norway,16,KoN Finland,6
644,2016-02-26,G2,16,Tempo Storm,13
645,2016-02-26,KoN Denmark,7,KoN Norway,16
646,2016-02-26,KoN Norway,6,KoN Sweden,16
647,2016-02-26,Liquid,16,YP,2
648,2016-02-26,mousesports,19,HellRaisers,15
649,2016-02-27,Splyce,16,CLG,14
650,2016-02-27,dignitas,9,Renegades,16
651,2016-02-27,Cloud9,9,Gambit,16
652,2016-02-27,ENCE,16,A LA MIX,2
653,2016-02-27,Ancient,1,Preparation,16
654,2016-02-27,dream[S]cape,5,MiTH,16
655,2016-02-27,MiTH,14,dream[S]cape,16
656,2016-02-27,MiTH,14,dream[S]cape,16
657,2016-02-27,A LA MIX,6,Ancient,16
658,2016-02-27,ENCE,17,Preparation,19
659,2016-02-27,Preparation,16,A LA MIX,3
660,2016-02-27,ENCE,14,Ancient,16
661,2016-02-27,J2G,6,MVP.karnal,16
662,2016-02-27,MVP.karnal,16,J2G,4
663,2016-02-27,Tempo Storm,16,Selfless,4
664,2016-02-27,AliGon,9,ALTERNATE aTTaX,16
665,2016-02-27,FlipSid3,14,G2,16
666,2016-02-27,Torpedo,17,Orgless,19
667,2016-02-27,CLG,16,SK,13
668,2016-02-27,ALTERNATE aTTaX,16,Orgless,13
669,2016-02-27,AliGon,16,Torpedo,9
670,2016-02-27,Splyce,16,Vexed,7
671,2016-02-27,Cloud9,16,dignitas,13
672,2016-02-27,AliGon,4,Orgless,16
673,2016-02-27,ALTERNATE aTTaX,16,Torpedo,13
674,2016-02-27,Renegades,11,Gambit,16
675,2016-02-27,Liquid,16,HellRaisers,4
676,2016-02-27,HellRaisers,16,Liquid,7
677,2016-02-27,HellRaisers,14,Liquid,16
678,2016-02-28,dream[S]cape,16,J2G,6
679,2016-02-28,J2G,7,dream[S]cape,16
680,2016-02-28,Orgless,16,Preparation,14
681,2016-02-28,Preparation,10,Orgless,16
682,2016-02-28,MVP.karnal,14,dream[S]cape,16
683,2016-02-28,dream[S]cape,4,MVP.karnal,16
684,2016-02-28,MVP.karnal,16,dream[S]cape,7
685,2016-02-28,FlipSid3,16,Tempo Storm,5
686,2016-02-28,FlipSid3,16,Tempo Storm,5
687,2016-02-28,ALTERNATE aTTaX,5,Ancient,16
688,2016-02-28,ALTERNATE aTTaX,3,Ancient,16
689,2016-02-28,Vexed,13,CLG,16
690,2016-02-28,CLG,3,Vexed,16
691,2016-02-28,CLG,16,Vexed,13
692,2016-02-28,Publiclir.se,16,k1ck,7
693,2016-02-28,Publiclir.se,8,k1ck,16
694,2016-02-28,ALTERNATE aTTaX,8,Preparation,16
695,2016-02-28,Preparation,16,ALTERNATE aTTaX,12
